id,type,issuer,maturity_date,indexer,rate,rate_text,min_application,rating,source_sheet,imported_at
5ab39eb9bba24903aa0f6c7c3f77e551,CDB,Banco ABC,2026-06-29,%CDI,0.9849999999999999,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
e5ba26e005554e37a89edd0bb2cccc4c,CDB,Banco ABC,2027-12-30,IPCA,0.0748,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
9e5cff9d32824b079e473304fd648c08,LCA,Banco ABC,2027-12-21,%CDI,0.88,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
7a04f0079e84459a9f4913501caa670d,LCA,Banco ABC,2026-09-28,PRE,0.1175,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
0024c384ddd9436db54be2fdc9b80f08,LCA,Banco ABC,2026-12-28,PRE,0.1151,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
6fe92bf0695a4ad3b565fe65d62ed225,LCA,Banco ABC,2027-12-21,PRE,0.1099,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
39ce991ebf9f42719de90b072baf2a11,LCA,Banco ABC,2028-12-14,PRE,0.1115,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
d4f4969d199c4a568965894f7187806a,LCA,Banco ABC,2026-12-30,IPCA,0.0691,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
e8bf452c1f3a4963b15e307ee9532a64,LCA,Banco ABC,2027-12-30,IPCA,0.06169999999999999,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
d1482d0a57ec4b0ea547b2fdf2a8dd8b,LCA,Banco ABC,2029-01-02,IPCA,0.059800000000000006,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
c64d3918b835487e97fd559dd8609c21,CDB,Banco ABC,2026-06-29,PRE,0.1398,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
c7ff5017c89d4566be41901469fb4707,CDB,Banco ABC,2026-12-28,%CDI,0.99,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
7eec24e078264171a01f653e3a02b54e,CDB,Banco ABC,2029-01-02,IPCA,0.0727,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
a48b6b288a7c406d81abcfee9456a10e,LCA,Banco ABC,2028-12-14,%CDI,0.89,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
bfa129f092e249b48cf14baa671fef84,CDB,Banco ABC,2026-12-28,PRE,0.1331,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
5a0cd6c835a844ad9a24972240555497,CDB,Banco ABC,2027-12-21,%CDI,0.9884999999999999,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
01065cf986a048f599227fb9bff958bb,LCA,Banco ABC,2026-06-30,%CDI,0.865,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
eaa99c11244c403b8ead5ecfbf5e4d29,LCA,Banco ABC,2026-06-30,PRE,0.1201,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
0016c1cbc60641e4bc6a08cb25cfaa3f,CDB,Banco ABC,2027-12-21,PRE,0.1263,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
af3cb9509062438a9b368dcd949ba0ed,CDB,Banco ABC,2028-12-14,%CDI,0.9964999999999999,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
384533a704b04f3caeb2da1ab0ee7a5c,LCA,Banco ABC,2026-09-28,%CDI,0.87,,5000.0,AAA,Crédito bancário,2026-01-05T21:26:58.385362+00:00
